content_id,content_name,content_type_id,subcat_slug,slug,url
5000317,dailydose_news,61,NULL,NULL,/dailydose/2013/3/13/fat_cells_used_to_fight_brain_cancer/
5000318,dailydose_news,61,diabetes,diabetes,/dailydose/2013/3/14/diabetes_cost_us_245_billion_in_2012/
5000319,dailydose_news,61,adhd,adhd,/dailydose/2013/3/14/adhd_meds_non_justifiable_in_healthy_kids/
5000320,dailydose_news,61,depression,depression,/dailydose/2013/3/14/high_mortality_rate_for_americans_under_50/
5000321,dailydose_news,61,NULL,NULL,/dailydose/2013/3/15/men_struggle_with_work_life_balance_too/
5000322,dailydose_news,61,depression,depression,/dailydose/2013/3/15/divorce_drives_kids_to_smoke/
5000323,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/3/15/olive_oil_satisfies_hunger/
5000331,dailydose_news,61,NULL,NULL,/dailydose/2013/3/18/vitamin_d_supplementation_improves_muscle_efficiency/
5000332,dailydose_news,61,depression,depression,/dailydose/2013/3/18/unhealthy_eating_can_make_a_bad_mood_worse/
5000333,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2013/3/18/breast_cancer_patients_should_avoid_high_fat_dairy/
5000335,dailydose_news,61,skin-care,skin-care,/dailydose/2013/3/19/bikini_waxing_raises_infection_risk/
5000336,dailydose_news,61,NULL,NULL,/dailydose/2013/3/19/breath_test_can_measure_stress/
5000337,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/3/19/uncontrolled_hypertension_could_raise_alzheimer_s_risk/
5000338,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/3/20/sugary_drinks_linked_to_180_000_deaths/
5000339,dailydose_news,61,high-blood-pressure,high-blood-pressure,/dailydose/2013/3/20/greek_coffee_could_be_the_key_to_long_life/
5000340,dailydose_news,61,NULL,NULL,/dailydose/2013/3/20/uplifting_music_can_boost_mental_capacity/
5000341,dailydose_news,61,NULL,NULL,/dailydose/2013/3/21/older_grandfathers_could_relay_autism_risk/
5000342,dailydose_news,61,cholesterol,cholesterol,/dailydose/2013/3/21/tomatoes_created_to_mimic_good_cholesterol/
5000343,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/3/21/zippers_cause_most_penis_injuries/
5000344,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/3/22/energy_drinks_may_increase_blood_pressure/
5000345,dailydose_news,61,NULL,NULL,/dailydose/2013/3/22/urine_test_to_predict_life_expectancy/
5000346,dailydose_news,61,NULL,NULL,/dailydose/2013/3/22/what_you_eat_before_surgery_may_affect_recovery/
5000349,dailydose_news,61,depression,depression,/dailydose/2013/3/25/family_dinners_make_happy_teens/
5000350,dailydose_news,61,NULL,NULL,/dailydose/2013/3/25/marijuana_a_gateway_drug_for_nicotine/
5000351,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2013/3/25/vitamin_d_boosts_immune_system/
5000353,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/3/26/social_isolation_increases_death_risk/
5000354,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/3/26/cold_sores_linked_to_memory_problems/
5000355,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/3/26/breath_test_to_diagnose_heart_failure/
5000358,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/3/27/protein_rich_breakfast_curbs_late_night_snacking/
5000359,dailydose_news,61,migraine,migraine,/dailydose/2013/3/27/brain_abnormalities_plague_migraine_sufferers/
5000360,dailydose_news,61,anxiety,anxiety,/dailydose/2013/3/27/angry_voices_affect_infants_brain/
5000361,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/3/28/birth_control_pill_affects_facial_feature_preference/
